year,Angola,Argentina,Armenia,Azerbaijan,Bangladesh,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia (Plurinational State of),Bosnia and Herzegovina,Botswana,Bulgaria,Burundi,Cambodia,Cameroon,Canada,Chile,"China, Hong Kong SAR",Colombia,Congo,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czechia,Democratic Republic of the Congo,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Fiji,Finland,France,Germany,Ghana,Guatemala,Guyana,Honduras,Hungary,Iceland,India,Iran (Islamic Republic of),Iraq,Ireland,Israel,Jamaica,Japan,Jordan,Kazakhstan,Kuwait,Kyrgyzstan,Latvia,Lesotho,Lithuania,Luxembourg,Malawi,Malaysia,Maldives,Mali,Malta,Mauritius,Mexico,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Netherlands,New Zealand,Nicaragua,Nigeria,Norway,Oman,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Republic of Korea,Republic of Moldova,Romania,Russian Federation,Saint Vincent and the Grenadines,Serbia,Serbia & Montenegro,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,South Africa,South Sudan,Sri Lanka,Sweden,Switzerland,Tajikistan,Thailand,Tonga,Trinidad and Tobago,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America,Uruguay,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Zimbabwe
1980,10117,16406,756,3080,39774,5954,2687,21,1835,1539,4412,4421,2662,3280,789,2576,2434,2762,8523,8065,11589,742,396,4197,3999,1133,NA,69,4962,5122,430,2174,3950,1637,2255,614,210,2247,17199,29991,5207,5624,124,1674,5412,25,705600,42717,11809,1152,249,176,70916,298,14442,847,1973,1194,4082,1636,71,4758,11218,73,839,24,132,31247,1160,NA,24878,7457,12744,1701,474,1300,9877,499,1872,643,2525,1354,16011,112307,25807,6873,89803,2781,13553,74270,78,NA,6232,2710,NA,2465,1085,266,55310,NA,6212,926,1160,2647,45704,64,80,10488,11483,27749,1874,178,4233,43062,4057
1981,7501,16693,924,3180,42644,6198,2837,33,1862,2657,5072,4376,2605,3007,643,1980,2236,2526,7337,7729,11483,1214,521,4418,4021,833,NA,69,4312,3051,394,1778,3966,1306,2091,560,180,2204,16459,27083,4041,6641,117,1696,5322,23,769540,11728,10614,1018,227,178,65867,646,13876,819,2085,1140,3830,1599,45,5033,10970,112,933,26,157,32572,1094,NA,28637,6984,12461,1734,448,3723,10838,461,928,580,2508,1388,21925,116821,24087,7249,98532,2852,13602,73369,11,NA,6381,2425,NA,2304,939,313,59943,NA,6288,875,1193,2631,49452,49,82,9290,12122,27373,1699,92,4093,43506,4051
1982,7911,17292,759,3217,49870,5468,2652,44,1793,720,4777,4678,2705,2999,951,8158,3765,2473,6941,7527,12126,3716,459,5000,3718,815,NA,86,4146,9905,378,2457,3880,1805,2171,563,163,2170,15425,25397,4345,7277,135,1714,5181,25,923095,9509,7741,975,232,153,63940,860,13808,880,2051,1077,4932,1495,41,4411,11944,111,187,13,121,24853,1325,NA,28095,5787,12069,1514,437,3082,10949,448,897,580,2742,1415,21579,104715,23685,7309,100878,3197,13588,72236,14,NA,6274,2179,NA,2263,982,324,64115,NA,7334,784,1167,2628,48553,45,62,8436,11748,25520,1450,173,4159,51206,4577
1983,6625,17305,702,3176,52961,5509,2190,140,1804,1017,5178,4468,2883,2892,1053,7572,3445,2355,6989,7301,13716,4156,479,6000,3632,762,NA,73,4016,13021,348,2959,3985,1932,2053,587,185,1882,13831,22977,2651,6013,149,1935,5028,24,1075098,8589,6970,924,222,157,62021,856,13357,855,1981,1072,3443,1477,41,4707,11634,143,532,24,152,22795,1514,NA,26944,5937,11012,1423,415,2773,10212,396,802,429,2955,1800,22753,106300,23411,7052,91572,2858,13570,73280,4,NA,6443,2065,NA,2252,925,302,62556,NA,6666,832,1097,2509,65413,50,112,7814,11753,23846,1359,196,4266,43185,3881
1984,10153,16359,774,3506,45679,5065,2149,35,1933,904,4131,4691,3101,2856,1904,10241,3338,2356,6561,7843,12792,2776,393,6062,3612,705,NA,39,3653,20415,302,3100,4301,1572,1564,546,165,1791,12302,20243,1935,6586,165,2120,4472,26,1109310,10493,6807,837,257,160,61521,672,12563,812,2022,1054,2923,1420,46,4404,10577,123,1872,15,118,14531,1652,NA,22279,5204,11045,1400,404,2705,11439,373,843,413,3505,1718,22792,151863,22527,6908,85669,2554,12952,74597,23,NA,6454,2143,NA,2152,896,337,62717,NA,6376,754,946,2427,69240,54,108,7026,12092,22255,1389,188,4737,43875,5694
1985,8653,15987,768,3772,41802,4873,1956,25,2041,1073,7679,4666,2706,2555,2317,10145,3393,2144,6644,7545,12024,2648,376,5729,3605,680,NA,61,3117,26082,312,2335,4798,1308,1461,541,230,1819,11290,20074,3235,6570,215,3377,4852,13,1168804,8728,6485,804,368,130,58567,769,12423,717,2094,1223,2927,1453,42,5335,10569,91,1621,11,111,15017,2994,NA,26790,5645,10506,1362,359,2604,14937,374,861,614,3453,1931,24438,151028,21650,6889,87169,2732,12677,64644,14,NA,6246,1952,NA,1989,923,377,59349,NA,5889,702,961,2485,77611,49,112,6666,13698,22201,1201,124,4822,46941,4759
1986,9363,14681,832,3804,45599,4128,1893,23,2162,1582,6837,4605,2627,2530,2569,10325,2138,2145,6854,7432,11639,3120,418,6072,3355,656,NA,48,2553,27665,299,2634,5687,1209,1659,522,199,1546,10535,17906,3925,4806,190,4213,4522,13,1279536,8032,6846,602,239,88,56690,592,13090,611,2122,982,21,1412,45,6260,10735,111,1851,14,119,13180,2819,NA,27553,8263,10840,1238,320,2617,14071,343,1265,709,2877,1628,24702,153129,20603,6624,88789,3022,12860,71764,9,NA,6126,1760,NA,2022,816,292,55013,NA,6596,640,881,2610,52152,35,119,6841,15452,22768,1082,131,4974,47557,5233
1987,8510,13368,766,3677,45355,3911,1772,41,1901,608,8960,4522,3173,2352,2739,9106,3878,1972,6280,7269,11437,3473,434,6422,3326,630,NA,35,2196,27096,322,2459,5867,22063,1647,446,173,1419,10241,17102,5877,5700,117,4227,4125,12,1403122,10034,6517,581,184,133,56496,537,13286,540,2088,948,225,1372,48,7581,11068,115,2534,14,117,14631,2433,NA,27159,10996,11986,1227,296,2983,19723,307,616,765,2251,1502,30571,163740,19757,7099,87419,2810,13361,70132,3,NA,6042,1616,NA,1830,792,334,57406,NA,6411,545,1018,2727,51835,24,122,5732,16920,22517,1023,90,4954,55505,5848
1988,8184,13267,651,3340,44280,3769,1588,28,2027,1126,10664,4093,2740,2387,3745,10691,4982,1947,6324,7021,11469,3878,442,6556,2973,628,NA,39,2047,30272,304,3081,5497,1378,2378,471,162,1078,9191,16282,5297,5739,150,3962,4016,16,1457288,9967,11384,534,226,65,54357,553,13501,480,2159,938,2346,1339,16,8359,10944,85,2578,12,114,15371,2538,NA,25717,13863,9348,1341,295,2737,25700,294,477,770,4261,1438,36908,183113,18537,6363,74460,2510,14137,67553,6,NA,5583,1666,NA,1651,760,372,61486,NA,6092,536,1201,2474,50021,14,108,5793,18206,22436,951,118,4557,52463,6002
1989,9587,12636,649,2989,45191,3708,1648,30,1941,1525,12563,4176,2532,2301,4608,7906,5521,2035,6728,6704,11329,4363,311,6982,2861,581,NA,23,1905,31321,328,3145,5480,1492,617,422,218,970,9027,15385,6017,4900,120,4026,3769,18,1510500,12005,14312,672,160,86,53112,484,13307,468,2132,857,2463,1381,45,9431,10686,203,1626,16,129,15489,2233,NA,26756,15958,10940,1317,303,3106,13342,255,478,672,3396,2270,35687,217272,16185,6664,70012,2281,14676,62987,3,NA,5045,1617,NA,1501,768,488,68075,NA,6429,595,1104,2621,44553,36,124,6059,19262,23495,987,144,4524,52270,6822
